Country,Name of University,Description,Worth pursuing (Y/N),Flags ,Observations for approaching strategy,Website Uni,Website TTO,Contact point,Name of contact point,
Belgium,KU Leuven,,,,,https://lrd.kuleuven.be/en,,"Email: https://www.linkedin.com/showcase/kuleuven-innovation-entrepreneurship/?viewAsMember=true",,
Germany,University of Erlangen Nuremberg,,,,,https://www.fau.eu/,,,,
United Kingdom,Imperial College London,,,,,https://www.imperial.ac.uk/,,,,
United Kingdom,University of Cambridg,,,,,https://map.cam.ac.uk/,https://www.enterprise.cam.ac.uk/,"Address: University of Cambridge, Hauser Forum, 3 Charles Babbage Road, Cambridge CB3 0GT
Phone: +44 1223 760339
Email: enquiries@enterprise.cam.ac.uk","Name: Dr Iain Thomas 
Position: Head of Life Sciences",
Switzerland,EPFL - Swiss Federal lnstitute of Technology Lausanne,,,,,https://www.epfl.ch/en/,https://search.epfl.ch/?filter=unit&q=I-VP,"Address: QIJ 1 117.08 (EPFL Innovation Park J)
CH-1015 Lausanne
Phone: +41 21 693 86 74","Name: Ursula Oesterle
Position: Vice President for Innovation
Email: ursula.oesterle@epfl.ch
Netherlands,Leiden University,,,,,https://www.universiteitleiden.nl/en,,,
France,University of Paris Sud - Paris 11,,,,,https://www.universite-paris-saclay.fr/,,,
Netherlands,Delft University of Technology,,,,,https://www.tudelft.nl/en/,https://www.tudelft.nl/en/innovation-impact,"Address: Innovation & Impact Centre
Van der Burgh Tower (Building 26C)
Van der Burghweg 1
2628 CS Delft
E-mail: innovation-impactcentre@tudelft.nl",
France,University of Montpellier,,,,,https://www.umontpellier.fr/en/,https://www.umontpellier.fr/en/recherche/partenariats-et-innovation,"E-mail: dipa-valo@umontpellier.fr",
France,University of Paris Descartes,,,,,https://u-paris.fr/en/,https://u-paris.fr/en/technology-transfer-and-innovation/,"E-mail: innovation.recherche@u-paris.fr",
Switzerland,University of Basel,,,,,https://www.unibas.ch/en.html,https://www.unibas.ch/en/Innovation.html,"Address: University of Basel President's Office Innovation Petersgraben 35
4001 Basel
Switzerland ","Name: Alessandro Mazzetti 
Position: Team Lead, Innovation Collaborations
E-mail: alessandro.mazzetti@unibas.ch"
Germany,University of Munich,,,,,,https://www.lmu.de/en/,,,
United Kingdom,Kings College London,,,,,https://www.kcl.ac.uk/,https://www.kcl.ac.uk/research/Innovation,,
France,Sorbonne University,,,,,https://www.sorbonne-universite.fr/en,https://www.sorbonne-universite.fr/en/research-and-innovation/innovation-and-exploitation/knowledge-transfer,"Email: https://www.linkedin.com/sharing/share-offsite/?url=http%3A%2F%2Fwww.sorbonne-universite.fr%2Fen%2Fresearch-and-innovation%2Finnovation-and-exploitation%2Fknowledge-transfer",
Germany,Free University of Berlin,,,,,https://www.fu-berlin.de/en/index.html,https://www.fu-berlin.de/en/forschung/wissenstransfer/Wissenstransfer/index.html,"Address: Altensteinstr. 40
D - 14195 Berlin
E-mail: profund@fu-berlin.de","Name:  Aneta Bärwolf
Position:  Head of Profund Innovation
E-mail: aneta.baerwolf@fu-berlin.de
Phone: +49 30 838 736 34"
France,University of Bordeaux,,,,,,https://www.u-bordeaux.com/,,,
Netherlands,Utrecht University,,,,,,https://www.uu.nl/en,,,
Germany,Johannes Gutenberg University of Mainz,,,,,https://www.uni-mainz.de/eng/,https://research.uni-mainz.de/contact/,"Address: Research and Technology Transfer
Johannes-von-Müller-Weg 6
Rooms 01-281 bis 01-297
55128 Mainz
E-mail: ft@uni-mainz.de","Name:  Nikolaus Bourdos
Position: Head of Research and Technology Transfer
E-mail: ft@uni-mainz.de
Phone: +49 6131 39-25891"
Germany,RWTH Aachen University,,,,,,https://www.rwth-aachen.de/go/id/a/?lidx=1,,,
Germany,Charité Medical University of Berlin,,,,,https://www.charite.de/en/,https://technologietransfer.charite.de/en/,"Address: Bertolt-Brecht-Platz 3
10117 Berlin
E-mail: technologietransfer@charite.de
Phone: +49 30 450 570 273",
Netherlands,Eindhoven University of Technology,,,,,https://www.tue.nl/en/,https://www.tue.nl/en/research/research-support-network/,"E-mail: researchsupport@tue.nl",
Germany,University of Freiburg,,,,,https://uni-freiburg.de/en/,https://www.zft.uni-freiburg.de/willkommen-en-en?set_language=en,"Address: Stefan-Meier Strasse 8, 79104 Freiburg (Germany)
E-mail: info (at) zft.uni-freiburg.de
Phone: +49 (0)761 203 4990","Name: Thurid Gspann
Position: Head of Central Office for Technology Transfer
E-mail: thurid.gspann[at]zv.uni-freiburg.de
Phone: 0761 203 67793"
Germany,Dresden University of Technolog,,,,,https://tu-dresden.de/?set_language=en,https://tu-dresden.de/forschung-transfer/transfer,,"Name: Frank Pankotsch
Position: Head of TTO
E-mail: transfer@tu-dresden.de"
Germany,Humboldt University of Berlin,,,,,https://www.hu-berlin.de/en,https://humboldt-innovation.de/en/research-service,"Address: Humboldt-Innovation GmbH
Ziegelstraße 30
10117 Berlin
Germany
E-mail: info@humboldt-innovation.de
Phone: +49 30 2093 70752","Name: Christine Kapps 
E-mail: christine.kapps@humboldt-innovation.de
Phone: +49 30 2093 70777 "
France,Grenoble Alpes University,,,,,https://www.univ-grenoble-alpes.fr/english/home-628540.kjsp,https://www.univ-grenoble-alpes.fr/research/innovation-and-technology-transfer/,"E-mail: direction.recherche@univ-grenoble-alpes.fr","Link: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fwww.univ-grenoble-alpes.fr%2Fresearch%2Finnovation-and-technology-transfer%2Finnovation-and-technology-transfer-621461.kjsp%3FRH",
Germany,Technical University of Berlin,,,,,https://www.tu.berlin/en/,https://www.tu.berlin/en/research/knowledge-technology-transfer,"Address: Straße des 17. Juni 135
10623 Berlin ","Name: Julia Köller
Position: Personal Assistant to the Vice President for Research and Appointments
E-mail: julia.koeller.1@tu-berlin.de
Phone:  +49 (0)30 314-29059"
Denmark,University of Copenhagen,,,,,https://www.ku.dk/english/,,,"Name: Annette Fløcke Lorenzen
Position: Industry Relations Manager
E-mail: annette.lorenzen@adm.ku.dk
Phone: +45 21 55 38 39 "
Netherlands,Erasmus University Rotterdam,,,,,https://www.eur.nl/en/education/meet-erasmus-university-rotterdam-spain?gclid=Cj0KCQiA1ZGcBhCoARIsAGQ0kkr-pzcQde_Mbe7e0QpVBNlK8rGXJYDV-Tocmo5OzcqhuljD_BqFVz4aAswwEALw_wcB,https://www.eur.nl/en/research/research-services/business-development-knowledge-transfer-bdkt,"E-mail: kto@eur.nl",
United Kingdom,University of Edinburgh,,,,,https://www.ed.ac.uk/,https://www.ed.ac.uk/edinburgh-innovations,"Address: 1st Floor Murchison House King's Buildings
10 Max Born Crescent
City
Edinburgh
Post Code
EH9 3BF
E-mail: edinburgh.innovations@ed.ac.uk",
Germany,Saarland University,,,,,https://www.uni-saarland.de/en/home.html,https://www.uni-saarland.de/en/research/services/research-transfer.html,,"Name: Mirko Roca
Position: Contact Person
E-mail: mirko.roca@uni-saarland.de
Phone: 0681/302-71286"
France,University of Lille,,,,,https://www.univ-lille.fr/,,,
Belgium,Free University of Brussels,,,,,https://www.vub.be/en,https://vubtechtransfer.be/en,,"Name: Hugo Thienpont
Position: 
Vicerector Innovation & Industry Relations 
E-mail: vicerector-innovatie@vub.be
Phone: +32 2 614 88 00 "
France,University of Claude Bernard - Lyon 1,,,,,https://www.univ-lyon1.fr/en,,,
United Kingdom,University of Dundee,,,,,https://www.dundee.ac.uk/,https://www.dundee.ac.uk/industry,"Address: Research & Innovation Services
University of Dundee
11 Perth Road
Dundee DD1 4HN
E-mail: research@dundee.ac.uk",
Belgium,Catholic University of Louvain,,,,,https://uclouvain.be/en/index.html,https://uclouvain.be/en/research/ltto,"Address: Place de l’Université, 1
Bte L0.01.05
B-1348 Louvain-la-Neuve
E-mail: LTTO@uclouvain.be
Phone: 
+32 (0)10 47 25 47",
United Kingdom,University of Glasgow,,,,,https://www.gla.ac.uk/,https://www.gla.ac.uk/connect/businessandinnovation/,,"Name: Gordon Meiklejohn
Position: Business Development Manager
E-mail: Gordon.Meiklejohn@glasgow.ac.uk
Phone: +44 141 330 370"
Germany,Eberhard Karls University of Tubingen,,,,,https://uni-tuebingen.de/,https://uni-tuebingen.de/en/research/innovation/technology-transfer-office/,"Address: Divison II Research
Section Knowledge Transfer and Innovation
Keplerstraße 2
72074 Tübingen
Phone: +49 7071 29-72639","Name: Rolf Hecker
Position: Head of Technology Transfer & Start-ups
E-mail: r.hecker@uni-tuebingen.de
Phone: +49 7071 29–72639"
United Kingdom,University of Birmingham,,,,,https://www.birmingham.ac.uk/index.aspx,https://www.birmingham.ac.uk/research/spotlights/driving-innovation.aspx,"E-mail:  businessteam@contacts.bham.ac.uk
https://www.linkedin.com/company/university-of-birmingham-business-engagement/",
Germany,Goethe University Frankfurt,,,,,https://www.goethe-university-frankfurt.de/en?legacy_request=1,,,"Name: Manfred Schubert-Zsilavecz
Position: Vice President in charge of Third Mission
E-mail: Schubert-Zsilavecz@pharmchem.uni-frankfurt.de"
Belgium,Ghent University,,,,,https://www.ugent.be/en,,,"Name: An Van Den Bulcke
Position: Business developer at ChemTech, Ghent University
E-mail: a.vandenbulcke@ugent.be
Phone: +32 9 264 44 62

Name: David Aubert
Position: MedTeG Business Developer
Ghent University
E-mail: David.Aubert@ugent.be"
United Kingdom,Queen Mary University London,,,,,https://www.qmul.ac.uk/,,,
France,University of Aix-Marseille,,,,,https://www.univ-amu.fr/en,https://www.univ-amu.fr/en/public/innovation-and-valorisation,,
Norway,University of Oslo,,,,,https://www.uio.no/english/,https://www.uio.no/english/about/organisation/los/fadm/fin/,"Address: Problemveien 7 Lucy Smiths hus 2.etg 0313 Oslo","Name: Ingrid Sogner
Position: Director of Department
E-mail: ingrid.sogner@admin.uio.no
Phone: +47 90663386"
Germany,University of Muenster,,,,,https://www.uni-muenster.de/en/,,,
Germany,Karlsruhe Institute of Technology,,,,,https://www.kit.edu/english/,https://www.irm.kit.edu/english/TechnologyTransfer.php,,"Name: Dagmar Vössing
Position: Head of Technology Transfer
E-mail: dagmar.voessing@kit.edu
Phone: +49 721 608-25582"
Netherlands,University of Groningen,,,,,https://www.rug.nl/?lang=en,https://www.rug.nl/society-business/doing-research-together/ipbd/,"E-mail: ip-info@rug.nl","Name:  M.L. (Maarten) van Roosmalen
Position: Technology Transfer Officer
E-mail: m.l.van.roosmalen@rug.nl
Phone: +31 6 3984 0997"
France,Ecole Polytechnique,,,,,https://www.polytechnique.edu/,https://www.polytechnique.edu/en/innovation/tech-transfer,"Email: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fwww.polytechnique.edu%2Fen%2Fform-sr2pi","Contact on the site"
Norway,Norwegian University of Science & Technology,,,,,https://www.ntnu.edu/,https://www.ntnutto.no/,"Address: Dybdahlsgården, 2. etg.
Dybdahls veg 1
7051 Trondheim
E-mail: contact@tto.ntnu.no
Phone: +47 482 24 870","Name: Eivind Andersen
Position: Acting CEO
E-mail: Eivind.Andersen@ntnu.no
Phone: +47 900 30 570
linkedin.com/in/eivind-andersen-71bb414"
Germany,University of Stuttgart,,,,,https://www.uni-stuttgart.de/en/,,,"Name:  Peter Middendorf
Position: Vice Rector for Knowledge and Technology Transfer
E-mail: prorektor-wtt@uni-stuttgart.de
Phone:  +49 711 685 62411 "
Netherlands,University of Amsterdam,,,,,https://www.uva.nl/en/,,,"Name:  S. (Saeedeh) Shahnahpur
Position: Representative of Knowledge Transfer Office
E-mail: s.shahnahpur@uva.nl"
France,University of Strasbourg,,,,,https://en.unistra.fr/,http://www.conectus.fr/en,"Address: 5 rue Schiller
67000 Strasbourg - France 
Phone: +33 (0)3 68 41 12 60 ","Name: Céline NADIN
Position: Business Developer ""Healthcare""
linkedin.com/in/céline-nadin-trau-37535b65"
France,University of Paris Diderot,,,,,https://u-paris.fr/en/,https://u-paris.fr/en/technology-transfer-and-innovation/,"E-mail: innovation.recherche@u-paris.fr",
France,Grenoble Institut of Technology,,,,,https://www.grenoble-inp.fr/en,https://www.grenoble-inp.fr/en/research/innovation-transfer,"Email: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fwww.grenoble-inp.fr%2Fen%2Fcompanies%2Faccess-to-facilities",
United Kingdom,University of Leeds,,,,,https://business.leeds.ac.uk/executive-education?utm_source=Google&utm_medium=Paid+Search&utm_campaign=LUBs+Executive+Courses++2022and2023&utm_content=Google+Ads&gclid=Cj0KCQiA1ZGcBhCoARIsAGQ0kkrUE9HIvyi2tX3yQixzgBhpQvt6asyMZoGUYMEEfqE6r_d8wdd_zvgaAjRhEALw_wcB,https://business.leeds.ac.uk/working-with-business/doc/knowledge-transfer-partnership,"E-mail: ktp@leeds.ac.uk",
Switzerland,University of Geneva,,,,,https://www.unige.ch/en,https://www.unige.ch/unitec/en/presentation/,"Address: Unitec - University of Geneva
20, rue du Conseil Général - 1st floor
1205 Geneva
Switzerland
E-mail: unitec@unige.ch
Phone: +41 22 379 03 50","Name: Laurent Miéville
Position: Director
E-mail: Laurent.Mieville@unige.ch
Phone: +41 22 379 03 50"
Germany,University of Wuerzburg,,,,,https://www.uni-wuerzburg.de/en/university/,https://www.uni-wuerzburg.de/en/university/transfer/,"E-mail: vp-innovation@uni-wuerzburg.de",
France,University of Nantes,,,,,https://english.univ-nantes.fr/,,,
United Kingdom,University of Southampton,,,,,https://www.southampton.ac.uk/,https://www.southampton.ac.uk/business/collaboration/knowledge-transfer-partnerships.page,"E-mail:  Business@soton.ac.uk",
Italy,Politecnico University of Milano,,,,,https://www.polimi.it/en,https://www.polimi.it/en/scientific-research/research-at-the-politecnico/technology-transfer,,"Name: Paola Bagnoli
Position: Technology Transfer Manager
E-mail: paola.bagnoli@polimi.it
Phone: +39.02.2399.9230"
Germany,Hannover Medical School,,,,,https://www.hannover.de/en/Science-Education/Hannover-Science-Initiative/Universities/Hannover-Medical-School,,,
Ireland,Trinity College Dublin,,,,,https://www.tcd.ie/,https://www.tcd.ie/innovation/,"Address: Trinity Research & Innovation
O’Reilly Institute
Trinity College Dublin
Dublin 2
Ireland
E-mail: innovation.centre@tcd.ie",
United Kingdom,University of Bristol,,,,,https://www.bristol.ac.uk/,https://www.bristol.ac.uk/business/,,"Name: Rosalind Darby
Position: Head of Research Commercialisation and Investment
E-mail: rosalind.darby@bristol.ac.uk
Phone: +44(0) 117 45 55014"
France,University of Paul Sabatier - Toulouse III,,,,,https://www.univ-tlse3.fr/,,,
United Kingdom,Cardiff University,,,,,https://www.cardiff.ac.uk/,https://www.cardiff.ac.uk/innovation/meet-our-innovators,"E-mail: innovationsystem@cardiff.ac.uk
Phone: +44 (0)29 2087 4408 ",
Austria,Vienna University of Technology,,,,,https://www.tuwien.at/en/,https://cts.wien/en/,"Address: Gußhaustraße 27-29, 1040 Vienna, Austria","Name: Anna Franzkowiak
Position: Organizational Director
E-mail: anna.franzkowiak@cts.wien
Phone:  	+43 (1) 58801 406617"
United Kingdom,University of Leicester,,,,,https://le.ac.uk/,https://le.ac.uk/enterprise/development/technology-transfer,"E-mail: red-commercial@leicester.ac.uk
Phone: +44 (0)116 229 7487",
Italy,University of Milan,,,,,https://www.unimi.it/en,,"E-mail: tto@unimi.it",
Denmark,Aarhus University,,,,,https://international.au.dk/,https://medarbejdere.au.dk/en/administration/researchandtalent/technology-transfer/,,"Name:  Anette Poulsen Miltoft 
Position: Head of Technology Transfer Office
E-mail: apm@au.dk
Phone: +4587153205"
France,University of Lorraine,,,,,https://welcome.univ-lorraine.fr/en/,,,
United Kingdom,Newcastle University,,,,,https://www.ncl.ac.uk/,,,"Name: Chris Angus
Position: Head of Business Support
E-mail: christopher.angus@ncl.ac.uk
Phone: +44(0)191 222 5834"
United Kingdom,University of St Andrews,,,,,https://www.st-andrews.ac.uk/,https://www.st-andrews.ac.uk/research/support/technology-transfer/,"Address: Technology Transfer Centre
Walter Bower House
Eden Campus
Guardbridge
St Andrews KY16 0US
E-mail: ttcadmin@st-andrews.ac.uk
Phone:  +44 (0)1334 46 2163",
Germany,University of Bonn,,,,,https://www.uni-bonn.de/en/university/university,https://www.uni-bonn.de/en/research-and-teaching/transfer-center-enacom,,"Name: Sandra Speer 
Position: Head of Department
E-mail: speer@verwaltung.uni-bonn.de
Phone: +49 228 73-62006"
France,University of Rennes 1,,,,,,,,,
United Kingdom,University of Sheffield,,,,,https://www.sheffield.ac.uk/,,,"Name: Lucy Lee
Position:  Head of Researcher Development
E-mail: l.lee@sheffield.ac.uk"
Germany,Friedrich Schiller University of Jena,,,,,https://www.uni-jena.de/en,https://www.uni-jena.de/en/sft,"Address: Service Centre for Research and Transfer
Universitätshauptgebäude, Room 2.06
Fürstengraben 1
07743 Jena
E-mail: sft@uni-jena.de
Phone:  +49 3641 9-31070 ","Name: Oliver Pänke
Position: Head of Transfer 
E-mail: oliver.paenke@uni-jena.de
Phone: +49 3641 9-402115"
United Kingdom,University of Nottingham,,,,,https://www.nottingham.ac.uk/,https://www.nottingham.ac.uk/workingwithbusiness/,"Address: Research and Innovation
University of Nottingham
Jubilee Conference Centre
Triumph Road
NG8 1DH
E-mail: workwithus@nottingham.ac.uk",
Netherlands,University of Twente,,,,,https://www.utwente.nl/en/,https://www.utwente.nl/en/business/,"E-mail: sbd@utwente.nl
Phone: +31 53 489 2024",
Netherlands,Maastricht University,,,,,https://www.maastrichtuniversity.nl/,https://www.maastrichtuniversity.nl/about-um/other-offices/knowledge-transfer-office,"Email: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Fabout-um%2Fother-offices%2Fknowledge-transfer-office",
Poland,Jagiellonian University,,,,,https://en.uj.edu.pl/,https://www.jagiellonskiecentruminnowacji.pl/en/,"Address: Jagiellonian Center of Innovation Sp. z o.o. (LTD)
Life Science Park
Michała Bobrzyńskiego 14 St.
30 – 348 Cracow
E-mail: jci@jci.pl
Phone: +48 12 297 46 00",
Belgium,University of Liege,,,,,https://www.uliege.be/cms/c_8699436/en/uliege,,"Address: Bât. B60 RISE : Direction (Liège Science Park)
Rue Pré Aily 4
4031 Angleur
Belgique ","Name:  Didier MATTIVI
Position: Managing Director of Recherche, Innovation, Support et Entreprises : Direction 
E-mail: D.Mattivi@uliege.be"
Belgium,University of Antwerp,,,,,https://www.uantwerpen.be/en/,https://www.uantwerpen.be/en/about-uantwerp/organisation/organisational-structure/central-services/department-of-research-affairs/,"Address: Department of Research Affairs and Innovation
Campus Middelheim, Building A
Middelheimlaan 1
2020 Antwerpen, Belgium
E-mail: research@uantwerpen.be
Phone: +32 3 265 30 02 ",
Italy,University of Padova,,,,,https://www.unipd.it/en/innovation-business-relations,,
France,University of Nice Sophia Antipolis,,,,,https://univ-cotedazur.eu/,https://life.univ-cotedazur.eu/research-and-innovation/innovation-and-tech-transfer/innovation-and-tech-transfer,,
Germany,Darmstadt University of Technology,,,,,https://www.tu-darmstadt.de/,,,"Name: Deniz Bayramoglu
Position: Head of IP- & Innovation-Management
E-mail: deniz.bayramoglu@tu-darmstadt.de"
Italy,Sapienza University Rome,,,,,https://www.uniroma1.it/en/pagina-strutturale/home,https://www.uniroma1.it/en/pagina/innovation-and-technology-transfer,,"Name: Daniele Riccioni
Position: Head of Innovation and Technology Transfer Office
E-mail: daniele.riccioni@uniroma1.it
Phone: +39 06 4991 0855"
United Kingdom,University of Surrey,,,,,https://www.surrey.ac.uk/,, E-mail: collaborate@surrey.ac.uk ,
